individual_id,age,gender,education_level,vocational_training_completed,employment_status,years_in_camp,ngo_livelihood_program_participation,access_to_microfinance,access_to_savings_group,owns_business,number_of_dependents,digital_skills_level,movement_restriction_perceived,access_to_market_opportunities,primary_employment_barrier,job_search_duration_months,monthly_income_kes,financial_stability_score
5934,35,Female,College,No,Employed,7,No,No,Yes,Yes,3,Medium,High,Good,Movement Restriction,8,12948.0,87.0
5935,27,Male,Tvet,Yes,Employed,2,Yes,Yes,Yes,Yes,5,High,Moderate,Fair,Limited Education,12,16093.0,100.0
5936,29,Female,Secondary,Yes,Employed,13,No,No,No,No,2,Low,Moderate,Poor,Movement Restriction,8,8844.0,39.0
5937,35,Female,University,No,Unemployed,12,No,No,Yes,No,4,Medium,Low,Poor,No Work Permit,12,9765.0,54.0
5938,34,Male,Unknown,No,Unemployed,19,No,No,No,No,5,Low,Moderate,Good,Limited Education,2,3257.0,40.0
5939,28,Female,Secondary,Yes,Employed,2,No,No,Yes,No,4,Medium,Low,Poor,Limited Education,9,11029.0,76.0
5940,20,Male,Secondary,No,Unemployed,9,No,No,No,No,1,Medium,Moderate,Poor,Discrimination,11,2517.0,40.0
5941,34,Male,Secondary,No,Employed,15,Yes,No,No,No,5,Low,High,Fair,Discrimination,8,11435.0,100.0
5942,18,Male,Unknown,No,Unemployed,4,Yes,Yes,No,No,4,Low,Low,Fair,No Work Permit,12,4030.0,36.0
5943,32,Male,Secondary,Yes,Employed,15,No,No,No,No,0,Low,Moderate,Poor,Low Market Demand,12,8691.0,73.0
5944,26,Female,College,No,Unemployed,14,No,No,No,Yes,1,Low,Moderate,Fair,Limited Education,4,5184.0,66.0
5945,32,Female,Secondary,Yes,Employed,17,No,No,No,No,2,Low,High,Poor,Low Market Demand,12,14220.0,94.0
5946,20,Female,Secondary,No,Unemployed,5,No,No,Yes,No,1,Medium,Moderate,Fair,Low Market Demand,2,9566.0,72.0
5947,30,Male,Secondary,No,Employed,13,No,No,Yes,No,5,Low,Low,Good,Lack of Capital,12,14404.0,97.0
5948,29,Female,Secondary,Yes,Unemployed,7,No,No,No,No,5,Low,Low,Poor,Movement Restriction,12,7111.0,70.0
5949,18,Male,Tvet,No,Employed,1,Yes,No,Yes,No,1,Medium,Moderate,Good,No Work Permit,8,12509.0,88.0
5950,34,Female,Unknown,No,Unemployed,13,No,No,Yes,No,4,Medium,Low,Fair,Movement Restriction,10,76.0,24.0
5951,30,Male,Tvet,No,Self-employed,4,Yes,Yes,No,No,3,Medium,Low,Fair,Low Market Demand,12,12275.0,97.0
5952,18,Male,Tvet,No,Employed,13,Yes,No,No,No,1,Low,Moderate,Fair,Lack of Capital,9,17909.0,89.0
5953,27,Female,Secondary,No,Unemployed,13,Yes,Yes,No,No,4,Medium,Moderate,Poor,Movement Restriction,12,5692.0,48.0
5954,32,Male,Primary,No,Unemployed,3,No,No,Yes,Yes,4,Low,High,Poor,Limited Education,7,3308.0,37.0
5955,24,Male,Tvet,No,Employed,8,No,No,No,No,3,Low,Moderate,Good,Discrimination,12,11595.0,95.0
5956,35,Male,University,No,Employed,9,No,No,Yes,Yes,5,High,High,Poor,Movement Restriction,12,11375.0,70.0
5957,33,Male,Secondary,No,Unemployed,7,No,Yes,Yes,No,3,Low,Low,Fair,Lack of Capital,9,0.0,19.0
5958,31,Male,Secondary,No,Self-employed,5,Yes,No,No,No,2,High,High,Fair,Lack of Capital,12,9236.0,68.0
5959,35,Male,Secondary,Yes,Unemployed,4,No,No,Yes,No,5,Low,High,Fair,Lack of Capital,12,5563.0,48.0
5960,24,Female,Primary,No,Unemployed,3,Yes,No,Yes,No,4,Low,Moderate,Good,Low Market Demand,7,0.0,23.0
5961,34,Male,Primary,No,Unemployed,8,No,No,Yes,No,4,Low,Moderate,Fair,Movement Restriction,12,6268.0,74.0
5962,35,Male,Unknown,Yes,Unemployed,4,No,No,Yes,No,3,Low,Moderate,Good,Discrimination,12,4553.0,51.0
5963,29,Male,Unknown,No,Employed,11,Yes,No,No,Yes,2,Low,High,Fair,Limited Education,1,13159.0,79.0
5964,25,Female,University,Yes,Employed,10,No,No,No,No,2,Low,Moderate,Fair,Discrimination,10,15712.0,100.0
5965,19,Male,University,No,Employed,2,Yes,No,No,No,3,Low,Moderate,Poor,Low Market Demand,12,20023.0,99.0
5966,24,Male,Unknown,No,Employed,14,No,No,No,No,1,Low,High,Fair,Limited Education,3,10658.0,85.0
5967,21,Male,Unknown,No,Unemployed,8,No,No,Yes,No,5,Low,Moderate,Fair,Movement Restriction,12,2000.0,26.0
5968,35,Male,College,No,Unemployed,6,No,No,No,No,1,Low,Moderate,Fair,Movement Restriction,1,7141.0,57.0
5969,23,Male,Secondary,No,Unemployed,3,No,No,Yes,No,4,Medium,Moderate,Fair,Lack of Capital,12,5580.0,65.0
5970,26,Male,University,No,Self-employed,17,No,No,No,No,2,Medium,Moderate,Poor,Limited Education,12,17886.0,100.0
5971,26,Female,Primary,Yes,Employed,10,Yes,No,Yes,No,4,Medium,High,Fair,Limited Education,12,13584.0,85.0
5972,31,Female,University,No,Unemployed,15,No,No,No,No,2,Low,Moderate,Good,Discrimination,5,9429.0,63.0
5973,25,Male,Secondary,Yes,Employed,8,Yes,No,No,Yes,5,Medium,Moderate,Fair,Low Market Demand,12,11462.0,59.0
5974,20,Male,College,Yes,Self-employed,7,Yes,No,Yes,No,0,High,Moderate,Poor,Lack of Capital,5,15889.0,100.0
5975,35,Male,Secondary,No,Unemployed,7,Yes,No,Yes,No,5,Low,Low,Good,Low Market Demand,12,11876.0,67.0
5976,22,Male,Secondary,No,Self-employed,13,No,Yes,Yes,No,2,Low,High,Fair,Low Market Demand,7,11970.0,81.0
5977,31,Female,Primary,Yes,Unemployed,4,No,Yes,No,No,2,Low,Moderate,Poor,Lack of Capital,12,4861.0,42.0
5978,21,Male,Primary,No,Employed,18,No,No,No,No,3,Medium,Moderate,Fair,Low Market Demand,4,9377.0,77.0
5979,24,Female,Primary,No,Self-employed,7,No,No,No,No,2,Medium,Moderate,Fair,Low Market Demand,12,9020.0,64.0
5980,29,Female,Secondary,No,Employed,3,Yes,No,Yes,No,0,Low,High,Poor,Lack of Capital,5,14037.0,97.0
5981,19,Female,Secondary,Yes,Unemployed,14,Yes,No,Yes,No,2,Medium,Moderate,Fair,Lack of Capital,12,3170.0,37.0
5982,28,Female,Tvet,No,Unemployed,1,Yes,Yes,No,Yes,0,High,High,Fair,Movement Restriction,9,7672.0,49.0
5983,31,Female,Secondary,No,Unemployed,1,No,No,No,No,1,Medium,High,Poor,Low Market Demand,12,6762.0,42.0
5984,33,Male,Primary,No,Unemployed,16,No,No,No,Yes,4,High,Moderate,Fair,Low Market Demand,12,7359.0,50.0
5985,23,Female,University,Yes,Self-employed,14,Yes,No,Yes,Yes,1,Medium,Moderate,Poor,Limited Education,4,21042.0,100.0
5986,21,Female,Tvet,No,Unemployed,8,No,Yes,No,Yes,3,Low,Moderate,Poor,Low Market Demand,12,5048.0,57.0
5987,32,Female,University,No,Employed,1,Yes,Yes,No,No,3,High,Moderate,Poor,Low Market Demand,12,18666.0,100.0
5988,18,Male,College,No,Unemployed,4,No,No,Yes,No,5,Low,High,Fair,Limited Education,12,6240.0,52.0
5989,24,Female,Tvet,No,Unemployed,4,No,No,Yes,Yes,3,Low,Low,Poor,Limited Education,12,6783.0,44.0
5990,29,Male,Secondary,Yes,Self-employed,4,No,Yes,Yes,No,4,Medium,Low,Fair,Low Market Demand,12,5758.0,32.0
5991,27,Male,Unknown,Yes,Unemployed,15,No,No,No,No,1,Low,Moderate,Fair,Low Market Demand,12,3795.0,40.0
5992,22,Female,Unknown,Yes,Employed,16,No,No,No,No,0,Low,High,Fair,Low Market Demand,12,5739.0,69.0
5993,29,Female,Secondary,Yes,Employed,10,Yes,No,No,No,4,Low,Moderate,Poor,Low Market Demand,4,7633.0,81.0
5994,35,Female,Secondary,Yes,Unemployed,4,Yes,No,No,No,2,High,High,Fair,Low Market Demand,12,12010.0,92.0
5995,27,Male,University,No,Unemployed,14,No,Yes,No,No,4,Medium,High,Fair,Lack of Capital,12,9583.0,62.0
5996,23,Female,Tvet,No,Unemployed,13,Yes,No,Yes,No,3,Low,Moderate,Fair,Lack of Capital,12,7333.0,66.0
5997,29,Female,Primary,Yes,Unemployed,2,Yes,No,Yes,No,1,Medium,High,Fair,Lack of Capital,7,8520.0,56.0
5998,24,Female,Primary,No,Unemployed,1,No,Yes,No,No,5,Medium,Low,Fair,Lack of Capital,12,1522.0,27.0
5999,35,Male,Tvet,Yes,Self-employed,16,No,No,No,No,0,Low,High,Poor,Lack of Capital,3,11339.0,85.0
6000,19,Female,Secondary,No,Employed,16,Yes,No,No,No,4,Low,High,Poor,Low Market Demand,8,9520.0,63.0
6001,27,Male,Secondary,No,Unemployed,7,No,No,No,No,2,Low,Moderate,Fair,Movement Restriction,12,0.0,26.0
6002,32,Female,College,Yes,Unemployed,8,No,No,No,Yes,1,Medium,Low,Good,No Work Permit,12,260.0,30.0
6003,29,Male,University,Yes,Self-employed,4,No,Yes,No,No,1,Low,Moderate,Fair,Lack of Capital,12,15852.0,100.0
6004,34,Male,Unknown,Yes,Unemployed,14,No,Yes,Yes,No,0,Medium,High,Fair,Lack of Capital,12,3728.0,42.0
6005,21,Male,Secondary,No,Unemployed,11,No,No,No,No,3,Medium,High,Good,Discrimination,12,2542.0,21.0
6006,24,Female,University,Yes,Unemployed,17,No,No,No,No,4,Low,Moderate,Fair,Low Market Demand,11,13551.0,84.0
6007,26,Male,Secondary,No,Employed,1,No,No,Yes,No,4,Medium,High,Poor,Movement Restriction,12,11039.0,87.0
6008,24,Male,Unknown,No,Self-employed,17,Yes,No,No,No,3,Low,Low,Fair,Lack of Capital,12,12950.0,73.0
6009,19,Female,Secondary,Yes,Employed,2,No,No,Yes,No,4,Medium,High,Good,Limited Education,8,13284.0,86.0
6010,23,Male,Unknown,No,Self-employed,18,No,No,No,No,2,Low,Moderate,Fair,Discrimination,11,9909.0,65.0
6011,35,Male,Tvet,Yes,Self-employed,3,No,Yes,No,Yes,3,Low,High,Good,Lack of Capital,2,15356.0,93.0
6012,23,Male,Unknown,Yes,Employed,13,Yes,No,No,No,2,Medium,Moderate,Fair,No Work Permit,11,8450.0,62.0
6013,30,Female,Unknown,Yes,Unemployed,17,No,No,No,No,5,Medium,High,Poor,Limited Education,5,7070.0,51.0
6014,19,Female,Secondary,No,Employed,15,No,No,No,No,0,Medium,High,Fair,Limited Education,12,7639.0,47.0
6015,29,Female,University,Yes,Unemployed,3,No,Yes,No,No,5,Low,High,Fair,Low Market Demand,12,4523.0,18.0
6016,32,Male,Secondary,No,Employed,5,No,Yes,No,No,1,Low,Moderate,Good,No Work Permit,12,14341.0,93.0
6017,31,Male,Primary,No,Employed,5,No,Yes,Yes,No,1,Medium,High,Fair,Movement Restriction,12,6766.0,76.0
6018,23,Male,Unknown,Yes,Unemployed,6,Yes,No,Yes,No,2,Low,High,Fair,No Work Permit,11,3811.0,46.0
6019,35,Male,Tvet,No,Employed,16,No,No,No,No,0,Medium,High,Good,Discrimination,12,11994.0,86.0
6020,22,Female,Primary,No,Self-employed,2,No,No,Yes,No,1,Low,Moderate,Poor,Limited Education,11,11608.0,85.0
6021,35,Female,College,No,Employed,6,No,No,No,No,2,Low,Low,Fair,Lack of Capital,12,15642.0,86.0
6022,20,Female,Unknown,Yes,Unemployed,13,No,No,No,No,2,High,Moderate,Poor,Lack of Capital,4,7345.0,47.0
6023,20,Male,Secondary,No,Unemployed,5,No,Yes,Yes,No,5,Low,High,Poor,Limited Education,1,10978.0,72.0
6024,27,Male,Tvet,No,Employed,16,No,No,Yes,No,2,Low,Moderate,Fair,No Work Permit,12,7119.0,31.0
6025,20,Female,Secondary,Yes,Self-employed,16,Yes,No,No,No,2,Medium,High,Good,No Work Permit,12,11914.0,91.0
6026,29,Female,Primary,Yes,Unemployed,7,Yes,No,No,Yes,0,Low,Moderate,Fair,Low Market Demand,3,8772.0,70.0
6027,33,Female,Secondary,No,Self-employed,11,Yes,No,Yes,Yes,5,Low,Moderate,Good,No Work Permit,12,6323.0,50.0
6028,34,Female,Secondary,No,Employed,3,No,No,No,No,2,Medium,Moderate,Fair,Movement Restriction,12,4304.0,38.0
6029,24,Female,Unknown,Yes,Unemployed,15,No,Yes,Yes,No,3,Low,Moderate,Poor,Low Market Demand,12,1649.0,27.0
6030,30,Female,Tvet,No,Unemployed,17,Yes,No,No,No,1,Low,Moderate,Poor,No Work Permit,12,4384.0,35.0
6031,19,Female,Secondary,No,Employed,3,No,No,No,No,4,Medium,Moderate,Poor,Movement Restriction,5,16069.0,85.0
6032,21,Male,Secondary,Yes,Self-employed,2,Yes,No,No,Yes,3,Low,Moderate,Fair,Lack of Capital,9,11752.0,95.0
6033,27,Female,Tvet,No,Unemployed,14,Yes,No,Yes,No,5,Low,High,Poor,Movement Restriction,9,6743.0,58.0
6034,24,Female,Secondary,No,Self-employed,5,No,Yes,No,No,1,High,High,Poor,Movement Restriction,1,7829.0,70.0
6035,34,Female,Secondary,No,Self-employed,4,Yes,No,No,No,3,Low,Moderate,Poor,Lack of Capital,12,10945.0,79.0
6036,23,Male,Unknown,No,Unemployed,12,No,No,No,Yes,1,High,Moderate,Good,Discrimination,1,0.0,18.0
6037,22,Male,Primary,No,Employed,7,Yes,Yes,No,No,1,Medium,High,Poor,Limited Education,12,10203.0,72.0
6038,27,Male,Secondary,Yes,Unemployed,11,Yes,No,No,Yes,5,Medium,Moderate,Poor,Low Market Demand,12,3363.0,34.0
6039,26,Other,College,No,Unemployed,2,No,Yes,Yes,No,2,Low,High,Fair,Lack of Capital,12,5450.0,53.0
6040,30,Male,Tvet,Yes,Unemployed,2,Yes,No,No,No,2,Medium,Moderate,Poor,Lack of Capital,5,11227.0,88.0
6041,23,Female,Secondary,No,Employed,10,No,No,Yes,No,4,Medium,Low,Fair,Limited Education,12,8092.0,79.0
6042,21,Female,Tvet,No,Employed,18,Yes,No,No,No,4,Medium,High,Poor,Discrimination,12,15145.0,92.0
6043,20,Female,Unknown,No,Unemployed,17,No,No,No,No,5,Low,Moderate,Fair,Movement Restriction,12,5961.0,53.0
6044,20,Female,Tvet,No,Unemployed,6,Yes,No,Yes,No,0,Low,Moderate,Fair,No Work Permit,12,6102.0,63.0
6045,21,Female,Unknown,No,Self-employed,11,No,No,No,No,1,High,Moderate,Good,Low Market Demand,9,15872.0,99.0
6046,22,Female,College,No,Employed,17,No,No,Yes,No,1,Low,High,Fair,Limited Education,12,11285.0,78.0
6047,25,Female,College,No,Unemployed,15,No,No,No,No,4,Low,Moderate,Fair,Low Market Demand,12,5346.0,43.0
6048,33,Male,Unknown,Yes,Unemployed,10,No,No,Yes,No,0,Low,High,Poor,Low Market Demand,3,2197.0,20.0
6049,20,Male,Tvet,No,Employed,4,Yes,Yes,No,No,5,Low,High,Good,Limited Education,3,11094.0,72.0
6050,29,Female,College,Yes,Employed,13,Yes,No,No,No,0,Low,Moderate,Poor,Movement Restriction,12,16673.0,100.0
6051,25,Male,Secondary,No,Employed,1,No,No,No,No,3,High,Moderate,Fair,Discrimination,1,8092.0,50.0
6052,30,Female,Primary,No,Unemployed,15,No,No,Yes,Yes,4,Medium,Moderate,Poor,Discrimination,7,2854.0,24.0
6053,21,Male,Secondary,Yes,Unemployed,5,Yes,No,No,No,3,Medium,Moderate,Good,Low Market Demand,12,0.0,31.0
6054,31,Male,College,Yes,Unemployed,6,No,No,No,No,0,Medium,Moderate,Good,No Work Permit,6,10068.0,78.0
6055,31,Male,Unknown,No,Unemployed,7,No,No,No,No,0,Low,High,Poor,Lack of Capital,10,0.0,32.0
6056,30,Female,Primary,No,Unemployed,8,No,No,No,No,0,Low,High,Fair,Low Market Demand,12,6205.0,41.0
6057,23,Male,University,Yes,Employed,12,Yes,No,Yes,Yes,3,Low,Moderate,Fair,Low Market Demand,9,18439.0,100.0
6058,34,Male,Secondary,Yes,Unemployed,15,No,Yes,No,Yes,0,Medium,Moderate,Good,Movement Restriction,12,0.0,39.0
6059,21,Female,University,No,Employed,3,No,No,No,No,5,Low,Moderate,Good,Discrimination,4,13159.0,89.0
6060,25,Female,University,No,Unemployed,9,No,No,No,No,0,Medium,Moderate,Poor,Limited Education,5,6443.0,48.0
6061,34,Male,Secondary,Yes,Employed,11,No,No,No,No,4,Low,Moderate,Fair,Discrimination,12,12484.0,82.0
6062,20,Female,Secondary,Yes,Employed,12,No,Yes,No,No,2,High,Moderate,Good,Movement Restriction,12,15709.0,100.0
6063,34,Female,College,Yes,Unemployed,8,No,No,Yes,Yes,1,Low,Low,Poor,Lack of Capital,7,9011.0,71.0
6064,26,Male,Tvet,No,Employed,14,No,No,Yes,No,0,Low,Moderate,Poor,Movement Restriction,12,14862.0,100.0
6065,19,Female,Tvet,Yes,Self-employed,16,Yes,No,No,No,3,Low,High,Poor,No Work Permit,12,13606.0,74.0
6066,30,Female,Primary,Yes,Self-employed,3,No,Yes,Yes,No,3,Low,Moderate,Poor,Movement Restriction,12,9174.0,57.0
6067,19,Female,Secondary,No,Employed,1,No,No,Yes,Yes,1,Low,Low,Fair,Movement Restriction,3,7972.0,60.0
6068,28,Female,Tvet,Yes,Unemployed,18,No,No,No,No,3,Low,Moderate,Poor,No Work Permit,1,8038.0,46.0
6069,32,Female,Unknown,No,Unemployed,13,Yes,Yes,Yes,No,5,Low,High,Fair,Low Market Demand,8,9185.0,77.0
6070,28,Male,Secondary,No,Employed,12,No,Yes,Yes,No,3,Low,Low,Good,Movement Restriction,12,7266.0,46.0
6071,20,Female,Primary,Yes,Employed,5,Yes,No,No,No,4,Low,High,Poor,Movement Restriction,10,7631.0,55.0
6072,20,Female,Tvet,Yes,Self-employed,7,Yes,No,No,Yes,3,High,Moderate,Poor,Lack of Capital,12,17029.0,94.0
6073,29,Female,Tvet,Yes,Unemployed,6,Yes,No,No,No,1,Low,High,Fair,Limited Education,2,6982.0,68.0
6074,22,Female,Unknown,No,Unemployed,9,Yes,Yes,Yes,No,3,Low,Moderate,Poor,Discrimination,3,4802.0,36.0
6075,24,Female,Primary,Yes,Unemployed,4,No,No,Yes,No,4,Low,Moderate,Poor,Movement Restriction,9,7236.0,50.0
6076,24,Male,Primary,Yes,Unemployed,4,No,Yes,No,No,0,Medium,High,Poor,Lack of Capital,12,8400.0,57.0
6077,30,Male,College,No,Employed,3,Yes,No,Yes,No,2,Low,High,Poor,Discrimination,11,14850.0,73.0
6078,26,Female,Secondary,No,Employed,6,Yes,Yes,Yes,No,2,Medium,High,Poor,Low Market Demand,12,8832.0,78.0
6079,30,Female,Tvet,No,Employed,11,No,Yes,Yes,No,1,Low,Moderate,Poor,Lack of Capital,7,8349.0,54.0
6080,29,Male,Primary,No,Self-employed,5,No,No,No,No,1,Low,Low,Good,Movement Restriction,9,5267.0,47.0
6081,30,Male,College,Yes,Unemployed,11,No,No,Yes,No,0,Medium,Moderate,Fair,Discrimination,12,8313.0,46.0
6082,27,Female,Secondary,Yes,Unemployed,8,No,No,No,No,3,Medium,Low,Fair,Low Market Demand,9,1032.0,15.0
6083,18,Male,Tvet,No,Self-employed,14,Yes,Yes,Yes,No,1,Medium,Moderate,Poor,Movement Restriction,8,8681.0,59.0
6084,25,Male,University,Yes,Unemployed,18,No,Yes,No,No,3,High,High,Fair,Limited Education,11,7194.0,42.0
6085,33,Female,Secondary,No,Employed,1,No,Yes,No,No,5,Medium,Moderate,Fair,Movement Restriction,1,11766.0,70.0
6086,30,Male,Unknown,Yes,Employed,10,No,Yes,Yes,No,3,High,Low,Poor,Movement Restriction,7,13244.0,93.0
6087,20,Male,Secondary,No,Unemployed,19,No,No,No,No,4,Low,Moderate,Poor,Movement Restriction,12,4946.0,53.0
6088,20,Male,Unknown,No,Self-employed,7,Yes,No,No,No,5,High,Moderate,Poor,No Work Permit,3,3455.0,38.0
6089,22,Female,Secondary,No,Employed,13,No,No,No,No,4,Low,High,Poor,Discrimination,2,10100.0,85.0
6090,28,Male,Primary,Yes,Unemployed,16,No,Yes,No,No,0,Low,Moderate,Fair,Discrimination,7,0.0,56.0
6091,24,Female,Tvet,No,Employed,18,No,No,No,No,5,Medium,Moderate,Fair,Discrimination,12,8276.0,58.0
6092,27,Female,University,No,Unemployed,6,No,No,Yes,No,2,Medium,High,Good,Low Market Demand,2,7510.0,45.0
6093,27,Female,Primary,No,Employed,7,No,No,No,No,1,High,High,Good,No Work Permit,12,7563.0,64.0
6094,19,Male,Unknown,Yes,Unemployed,16,No,No,No,No,5,Low,Moderate,Poor,Movement Restriction,10,5668.0,45.0
6095,20,Female,University,Yes,Employed,6,No,No,No,No,1,High,High,Poor,No Work Permit,9,17643.0,100.0
6096,25,Male,Primary,Yes,Self-employed,11,Yes,No,No,No,3,Medium,High,Fair,Discrimination,12,12744.0,99.0
6097,28,Male,Unknown,Yes,Unemployed,7,No,No,No,No,5,Medium,High,Poor,Low Market Demand,12,6264.0,55.0
6098,30,Male,Secondary,Yes,Employed,18,No,No,No,Yes,1,Medium,High,Poor,Lack of Capital,12,13179.0,100.0
6099,24,Male,Unknown,Yes,Unemployed,3,No,No,No,No,1,Medium,Moderate,Fair,Limited Education,12,6398.0,62.0
6100,30,Female,College,No,Unemployed,17,Yes,Yes,Yes,No,2,High,Moderate,Fair,Limited Education,12,6001.0,56.0
6101,19,Female,Secondary,Yes,Employed,16,No,No,No,No,5,High,Moderate,Poor,Limited Education,1,3746.0,26.0
6102,23,Male,Secondary,Yes,Unemployed,19,No,No,Yes,Yes,1,Medium,Moderate,Good,Lack of Capital,12,4465.0,47.0
6103,26,Male,Secondary,Yes,Self-employed,19,No,Yes,No,No,0,Low,Low,Fair,Discrimination,3,11402.0,57.0
6104,19,Male,Secondary,No,Unemployed,11,No,Yes,No,No,3,Medium,High,Poor,Limited Education,12,4917.0,51.0
6105,35,Female,Unknown,Yes,Unemployed,1,No,No,No,No,4,Medium,Moderate,Fair,Movement Restriction,12,6333.0,55.0
6106,33,Female,University,No,Employed,14,No,No,No,No,3,Low,High,Poor,Limited Education,6,16141.0,100.0
6107,29,Female,Secondary,No,Unemployed,19,Yes,No,Yes,No,2,High,High,Poor,Movement Restriction,10,5841.0,35.0
6108,24,Male,College,Yes,Self-employed,11,No,No,Yes,No,0,Medium,Moderate,Poor,Limited Education,12,16009.0,90.0
6109,24,Female,University,No,Employed,17,No,No,No,No,4,High,Moderate,Good,Movement Restriction,12,16445.0,95.0
6110,34,Male,Secondary,No,Self-employed,2,Yes,No,Yes,No,5,Low,Moderate,Fair,Limited Education,12,12412.0,89.0
6111,30,Male,Secondary,Yes,Unemployed,17,Yes,No,Yes,No,5,Low,High,Fair,Lack of Capital,3,0.0,13.0
6112,28,Female,Secondary,Yes,Employed,6,No,No,No,Yes,3,Low,Moderate,Good,Movement Restriction,2,16687.0,97.0
6113,23,Female,Unknown,Yes,Unemployed,16,Yes,No,Yes,No,2,Medium,Moderate,Good,Lack of Capital,9,7557.0,52.0
6114,31,Male,Secondary,No,Unemployed,9,No,No,Yes,No,5,Medium,High,Poor,Movement Restriction,1,0.0,32.0
6115,23,Male,Secondary,No,Unemployed,9,No,No,No,Yes,1,Medium,Low,Good,Low Market Demand,12,4846.0,68.0
6116,23,Male,College,Yes,Employed,10,No,No,No,No,5,Medium,Low,Fair,No Work Permit,3,14270.0,93.0
6117,19,Male,Secondary,Yes,Employed,10,No,No,Yes,No,5,High,Moderate,Poor,Discrimination,4,12455.0,85.0
6118,32,Male,Primary,No,Unemployed,6,Yes,No,Yes,No,5,Low,High,Poor,No Work Permit,1,3885.0,37.0
6119,34,Female,Secondary,Yes,Unemployed,1,Yes,No,No,No,1,Low,Low,Poor,Limited Education,6,5637.0,43.0
6120,25,Male,Tvet,Yes,Unemployed,3,No,No,Yes,No,1,Low,High,Fair,Lack of Capital,12,11551.0,91.0
6121,22,Male,Primary,No,Self-employed,7,No,No,No,Yes,5,Low,High,Poor,Discrimination,12,5381.0,49.0
6122,34,Female,Secondary,Yes,Unemployed,9,No,No,No,No,3,High,Moderate,Good,Low Market Demand,12,7606.0,68.0
6123,18,Female,Primary,No,Unemployed,14,No,No,No,No,2,Medium,Low,Fair,No Work Permit,12,4410.0,41.0
6124,35,Female,Tvet,No,Unemployed,15,No,No,No,No,2,Medium,Moderate,Poor,Lack of Capital,12,6688.0,50.0
6125,32,Female,Unknown,Yes,Unemployed,19,No,No,No,No,2,Medium,High,Poor,Lack of Capital,12,0.0,16.0
6126,22,Male,Tvet,No,Unemployed,10,No,Yes,Yes,No,4,Low,Low,Good,No Work Permit,12,0.0,21.0
6127,24,Female,College,No,Unemployed,16,Yes,Yes,No,Yes,1,Medium,Moderate,Poor,Movement Restriction,12,5507.0,59.0
6128,35,Female,College,No,Employed,1,No,No,No,Yes,4,Low,Moderate,Good,Lack of Capital,12,20692.0,100.0
6129,23,Female,Primary,Yes,Unemployed,7,No,No,No,No,0,Low,Moderate,Good,Low Market Demand,6,8965.0,56.0
6130,22,Male,Secondary,No,Unemployed,11,Yes,No,No,No,2,Medium,High,Poor,Movement Restriction,7,5590.0,60.0
6131,27,Female,Unknown,No,Employed,15,Yes,No,Yes,No,3,Low,Low,Fair,Low Market Demand,12,13617.0,80.0
6132,32,Female,College,No,Self-employed,13,Yes,No,No,No,2,High,Low,Poor,Discrimination,12,6375.0,73.0
6133,27,Male,Tvet,Yes,Employed,19,Yes,No,Yes,Yes,2,Low,Moderate,Poor,Discrimination,12,20264.0,100.0
6134,33,Female,Unknown,Yes,Unemployed,11,Yes,No,Yes,No,2,Low,Low,Poor,Limited Education,12,6922.0,56.0
6135,29,Male,Tvet,No,Self-employed,13,No,No,No,No,4,Medium,Moderate,Fair,Movement Restriction,1,13102.0,69.0
6136,35,Female,Secondary,No,Employed,8,No,No,No,No,1,Medium,High,Poor,Movement Restriction,8,9090.0,63.0
6137,18,Male,Secondary,No,Self-employed,10,Yes,No,Yes,No,1,Medium,Moderate,Poor,Lack of Capital,10,10712.0,74.0
6138,33,Female,Secondary,Yes,Employed,16,No,Yes,No,No,1,Low,High,Poor,Discrimination,12,12880.0,81.0
6139,23,Male,Unknown,No,Unemployed,17,No,No,No,No,5,High,Moderate,Poor,No Work Permit,12,0.0,12.0
6140,20,Female,Unknown,No,Employed,17,No,No,Yes,No,5,Low,Moderate,Fair,Discrimination,8,6201.0,56.0
6141,19,Female,Unknown,No,Unemployed,13,Yes,No,No,No,5,Low,Moderate,Good,Low Market Demand,5,4881.0,43.0
6142,19,Male,University,No,Self-employed,13,No,No,Yes,No,5,Medium,Low,Fair,Low Market Demand,12,17029.0,100.0
6143,30,Male,Unknown,Yes,Self-employed,15,No,No,Yes,No,3,High,Moderate,Fair,Limited Education,12,6144.0,26.0
6144,26,Male,Unknown,Yes,Unemployed,12,No,No,No,No,5,Low,High,Poor,Movement Restriction,12,5418.0,46.0
6145,33,Female,Secondary,No,Unemployed,11,Yes,Yes,Yes,No,2,Medium,Moderate,Poor,Lack of Capital,1,5590.0,50.0
6146,22,Female,College,No,Employed,1,No,Yes,No,No,5,High,Low,Fair,Movement Restriction,12,14528.0,89.0
6147,24,Female,Primary,Yes,Unemployed,3,No,No,Yes,No,4,Low,Moderate,Poor,Lack of Capital,12,231.0,29.0
6148,30,Female,Primary,No,Unemployed,18,Yes,Yes,Yes,No,3,Medium,High,Poor,Limited Education,12,0.0,12.0
6149,30,Male,Secondary,Yes,Self-employed,12,No,No,No,No,0,Low,Moderate,Good,Limited Education,12,5795.0,59.0
6150,24,Male,Unknown,No,Unemployed,1,No,No,No,No,2,Low,Low,Poor,Limited Education,8,920.0,42.0
6151,27,Female,Primary,No,Unemployed,2,Yes,Yes,No,Yes,4,Low,High,Poor,Limited Education,8,4158.0,43.0
